PlotID,PlotType,X0,X1,DX,Xtype,Y0,Y1,DY,Ytype,DataList,Labels,Grid,ColorPlanes
Mars-2018,Map,180.,360.,30.,lin,-90,90,30,lin,2018MarsMaster-Bare.png,True,True,Grey,
Ganymede-Reference,Map,180.,360.,30.,lin,-90,90,30,lin,ganymede_m.jpg,True,True,RGB,

Jupiter,Map,180.,360.,30.,lin,-90,90,30,lin,2014-Hill-Jupiter-Composite-Bare-VideoRGB.jpg,True,True,Grey,
Jupiter-NEB-Grey,Map,180.,360.,30.,lin,5,25,5,lin,2014-Hill-Jupiter-Composite-Bare-VideoRGB.jpg,0,False,Grey,
Jupiter-NEB-RGB,Map,180.,360.,30.,lin,5,25,5,lin,2014-Hill-Jupiter-Composite-Bare-VideoRGB.jpg,0,False,RGB,
Jupiter-NEB-RED,Map,180.,360.,30.,lin,5,25,5,lin,2014-Hill-Jupiter-Composite-Bare-VideoRGB.jpg,0,False,RED,
Jupiter-2005-RGB,Map,180.,360.,30.,lin,-90,90,30,lin,2005-Composite-Hill-Jupiter-Bare.jpg,True,True,RGB,
Jupiter-2006-RGB,Map,180.,360.,30.,lin,-90,90,30,lin,2006-Composite-Hill-Jupiter-Bare.jpg,True,True,RGB,
Jupiter-2007-RGB,Map,180.,360.,30.,lin,-90,90,30,lin,2007-Composite-Hill-Jupiter-Bare.jpg,True,True,RGB,
Jupiter-2008-RGB,Map,180.,360.,30.,lin,-90,90,30,lin,2008-Composite-Hill-Jupiter-Bare.bmp,True,True,RGB,
Jupiter-2009-RGB,Map,180.,360.,30.,lin,-90,90,30,lin,2009-Composite-Hill-Jupiter-Bare.bmp,True,True,RGB,
Jupiter-2010-RGB,Map,180.,360.,30.,lin,-90,90,30,lin,2010-Hill-Jupiter-RGB-Composite-Map-Bare.bmp,True,True,RGB,
Jupiter-2012-RGB,Map,180.,360.,30.,lin,-90,90,30,lin,2012-Hill-Jupiter-Composite-RGB-Bare.bmp,True,True,RGB,
Jupiter-2013-RGB,Map,180.,360.,30.,lin,-90,90,30,lin,2013-Hill-Jupiter-Composite-Bare.jpg,True,True,RGB,
Jupiter-2014-RGB,Map,180.,360.,30.,lin,-90,90,30,lin,2014-Hill-Jupiter-Composite-Bare-VideoRGB.jpg,True,True,RGB,
Jupiter-2015-RGB,Map,180.,360.,30.,lin,-90,90,30,lin,2015-Composite-Hill-Jupiter-Bare.bmp,True,True,RGB,
Jupiter-2016-RGB,Map,180.,360.,30.,lin,-90,90,30,lin,2016-Composite-Hill-Jupiter-Bare.bmp,True,True,RGB,
Jupiter-2017-RGB,Map,180.,360.,30.,lin,-90,90,30,lin,2017-Composite-Hill-Jupiter-Bare.jpg,True,True,RGB,
